,field_of_study,gender,high_keyboard_experience,high_teleop_experience,interface,is_adapted,keyboard_experience,mechanism,method,model,number_of_refinements,number_of_updates,participant_number,refinement_time,technical,teleop_experience,training_time,workload
45,Software,True,False,False,keyboard,True,0,offline,OffKey,1,4,3,4,608.2766418457031,True,0,605.4569661617279,37.0
46,Software,True,False,False,keyboard,True,0,offline,OffKey,2,1,1,4,137.14198303222656,True,0,605.4569661617279,37.0
47,Software,True,False,False,keyboard,True,0,offline,OffKey,3,1,1,4,74.8366470336914,True,0,605.4569661617279,37.0
48,Bedrijfsarts,True,False,False,keyboard,True,0,online,OnKey,1,2,1,5,102.81670379638672,False,0,75.61391472816467,56.0
49,Bedrijfsarts,True,False,False,keyboard,True,0,online,OnKey,2,2,1,5,101.66985321044922,False,0,75.61391472816467,56.0
50,Bedrijfsarts,True,False,False,keyboard,True,0,online,OnKey,3,1,1,5,31.012502670288086,False,0,75.61391472816467,56.0
51,Bedrijfsarts,True,False,False,omni,False,0,offline,OffOm,1,0,0,5,,False,0,,87.0
52,Bedrijfsarts,True,False,False,omni,False,0,offline,OffOm,2,0,0,5,,False,0,,87.0
53,Bedrijfsarts,True,False,False,omni,False,0,offline,OffOm,3,0,0,5,,False,0,,87.0
54,Bedrijfsarts,True,False,False,omni,True,0,online,OnOm,1,2,2,5,57.06630516052246,False,0,319.76502084732056,31.0
55,Bedrijfsarts,True,False,False,omni,True,0,online,OnOm,2,2,2,5,55.10754203796387,False,0,319.76502084732056,31.0
56,Bedrijfsarts,True,False,False,omni,True,0,online,OnOm,3,1,1,5,29.961137771606445,False,0,319.76502084732056,31.0
57,Bedrijfsarts,True,False,False,keyboard,True,0,offline,OffKey,1,5,2,5,1159.9450073242188,False,0,427.8272910118103,84.0
58,Bedrijfsarts,True,False,False,keyboard,True,0,offline,OffKey,2,1,1,5,203.87405395507812,False,0,427.8272910118103,84.0
59,Bedrijfsarts,True,False,False,keyboard,True,0,offline,OffKey,3,1,1,5,155.48744201660156,False,0,427.8272910118103,84.0
60,Mechanical Engineering,False,False,False,keyboard,True,3,online,OnKey,1,2,1,6,84.04930114746094,True,0,125.58879375457764,31.0
61,Mechanical Engineering,False,False,False,keyboard,True,3,online,OnKey,2,2,2,6,55.65203285217285,True,0,125.58879375457764,31.0
62,Mechanical Engineering,False,False,False,keyboard,True,3,online,OnKey,3,1,1,6,27.871456146240234,True,0,125.58879375457764,31.0
63,Mechanical Engineering,False,False,False,omni,True,3,offline,OffOm,1,3,3,6,434.94808197021484,True,0,361.3421633243561,40.0
64,Mechanical Engineering,False,False,False,omni,True,3,offline,OffOm,2,6,3,6,605.1427764892578,True,0,361.3421633243561,40.0
65,Mechanical Engineering,False,False,False,omni,True,3,offline,OffOm,3,2,2,6,204.9330291748047,True,0,361.3421633243561,40.0
66,Mechanical Engineering,False,False,False,omni,True,3,online,OnOm,1,5,3,6,254.4257049560547,True,0,68.92428088188171,45.0
67,Mechanical Engineering,False,False,False,omni,True,3,online,OnOm,2,2,2,6,51.777015686035156,True,0,68.92428088188171,45.0
68,Mechanical Engineering,False,False,False,omni,True,3,online,OnOm,3,2,2,6,55.91069221496582,True,0,68.92428088188171,45.0
69,Mechanical Engineering,False,False,False,keyboard,True,3,offline,OffKey,1,1,1,6,158.56283569335938,True,0,510.11890387535095,21.0
70,Mechanical Engineering,False,False,False,keyboard,True,3,offline,OffKey,2,2,1,6,335.9795227050781,True,0,510.11890387535095,21.0
71,Mechanical Engineering,False,False,False,keyboard,True,3,offline,OffKey,3,1,1,6,131.19285583496094,True,0,510.11890387535095,21.0
72,Media & Entertainment Management,True,True,False,keyboard,True,5,online,OnKey,1,3,3,7,114.3794174194336,False,0,145.58878755569458,40.0
73,Media & Entertainment Management,True,True,False,keyboard,True,5,online,OnKey,2,3,2,7,167.54009246826172,False,0,145.58878755569458,40.0
74,Media & Entertainment Management,True,True,False,keyboard,True,5,online,OnKey,3,3,2,7,160.5813217163086,False,0,145.58878755569458,40.0
75,Media & Entertainment Management,True,True,False,omni,False,5,offline,OffOm,1,10,8,7,,False,0,806.9613738059998,27.0
76,Media & Entertainment Management,True,True,False,omni,True,5,offline,OffOm,2,5,4,7,491.2518539428711,False,0,806.9613738059998,27.0
77,Media & Entertainment Management,True,True,False,omni,True,5,offline,OffOm,3,5,4,7,431.71124267578125,False,0,806.9613738059998,27.0
78,Media & Entertainment Management,True,True,False,omni,True,5,online,OnOm,1,3,2,7,87.14491844177246,False,0,101.47555088996887,42.0
79,Media & Entertainment Management,True,True,False,omni,True,5,online,OnOm,2,2,2,7,51.680084228515625,False,0,101.47555088996887,42.0
80,Media & Entertainment Management,True,True,False,omni,True,5,online,OnOm,3,2,2,7,51.4251594543457,False,0,101.47555088996887,42.0
81,Media & Entertainment Management,True,True,False,keyboard,True,5,offline,OffKey,1,4,2,7,504.64630126953125,False,0,316.7284936904907,67.0
82,Media & Entertainment Management,True,True,False,keyboard,True,5,offline,OffKey,2,3,2,7,360.1780471801758,False,0,316.7284936904907,67.0
83,Media & Entertainment Management,True,True,False,keyboard,True,5,offline,OffKey,3,1,1,7,118.57587432861328,False,0,316.7284936904907,67.0
84,Technische Bedrijfskunde,True,False,False,keyboard,True,0,online,OnKey,1,4,3,8,260.8965034484863,False,0,288.48521733283997,19.0
