,joint_x,joint_y,joint_z,qx,qy,qz,qw,dt,object_x,object_y,object_z
361,0.5832194011708233,0.13566547818938576,0.8173401125244293,0.9561431440747211,0.1516398827382532,-0.25039724137370895,0.009841519926947075,0.016208530805687182,0.09070374816656113,-0.2079552263021469,0.7828076481819153
362,0.5837409012531012,0.13576531061134645,0.8178494372887242,0.9559601648834886,0.15164788623271838,-0.25108971861110496,0.00985063271461237,0.016208530805687182,0.09070374816656113,-0.2079552263021469,0.7828076481819153
363,0.5841891417404905,0.13601877758432152,0.8182941630711948,0.9557766951382309,0.1516558119085843,-0.2517820670010065,0.009859740447393892,0.016208530805687182,0.09070374816656113,-0.2079552263021469,0.7828076481819153
364,0.5854678862068619,0.1371463768734012,0.8185962429210172,0.9555927349330965,0.1516636597617839,-0.25247428618813283,0.00986884312061798,0.016208530805687182,0.09070374816656113,-0.2079552263021469,0.7828076481819153
365,0.5854678862068619,0.1371463768734012,0.8185962429210172,0.955408284362485,0.15167142978828999,-0.25316637581726925,0.00987794072961356,0.016208530805687182,0.09070374816656113,-0.2079552263021469,0.7828076481819153
366,0.5854678862068619,0.1371463768734012,0.8185962429210172,0.9552233435210479,0.1516791219841154,-0.253858335533268,0.009887033269712176,0.016208530805687182,0.09070374816656113,-0.2079552263021469,0.7828076481819153
367,0.5872183654251864,0.1366026576949571,0.818861613466368,0.9550379125036883,0.15168673634531288,-0.2545501649810475,0.009896120736247953,0.016208530805687182,0.09070374816656113,-0.2079552263021469,0.7828076481819153
368,0.5880420629567875,0.13628868978503683,0.8188634397902743,0.9548519914055604,0.15169427286797504,-0.2552418638055934,0.009905203124557636,0.016208530805687182,0.09070374816656113,-0.2079552263021469,0.7828076481819153
369,0.5885231034413668,0.1364268229435079,0.8188665693604974,0.9546655803220705,0.1517017315482345,-0.2559334316519582,0.00991428042998056,0.016208530805687182,0.09070374816656113,-0.2079552263021469,0.7828076481819153
370,0.5887142453557692,0.13648171029124478,0.8188678128983344,0.9544786793488759,0.15170911238226384,-0.2566248681652616,0.009923352647858683,0.016208530805687182,0.09070374816656113,-0.2079552263021469,0.7828076481819153
371,0.5892047225051208,0.13706956185272695,0.8188505057605662,0.9542912885818849,0.1517164153662755,-0.25731617299069076,0.009932419773536563,0.016208530805687182,0.09070374816656113,-0.2079552263021469,0.7828076481819153
372,0.5894377475657786,0.13749722696523212,0.8186708389987571,0.9541034081172589,0.15172364049652204,-0.25800734577350043,0.009941481802361379,0.016208530805687182,0.09070374816656113,-0.2079552263021469,0.7828076481819153
373,0.589591799322184,0.137790105257307,0.818540333185358,0.9539150380514085,0.15173078776929577,-0.25869838615901297,0.00995053872968292,0.016208530805687182,0.09070374816656113,-0.2079552263021469,0.7828076481819153
374,0.5903651576229064,0.13828765899497314,0.8183637498930462,0.9537261784809964,0.15173785718092905,-0.2593892937926189,0.009959590550853594,0.016208530805687182,0.09070374816656113,-0.2079552263021469,0.7828076481819153
375,0.5907759261666826,0.13836792617408303,0.8184231320795239,0.9535368295029371,0.15174484872779426,-0.26008006831977676,0.009968637261228434,0.016208530805687182,0.09070374816656113,-0.2079552263021469,0.7828076481819153
376,0.5915617190938247,0.1383131623233993,0.8187003195938987,0.9533469912143948,0.1517517624063036,-0.2607707093860133,0.009977678856165085,0.016208530805687182,0.09070374816656113,-0.2079552263021469,0.7828076481819153
377,0.5915617190938247,0.1383131623233993,0.8187003195938987,0.9531566637127862,0.15175859821290927,-0.26146121663692384,0.009986715331023828,0.016208530805687182,0.09070374816656113,-0.2079552263021469,0.7828076481819153
378,0.591922335332578,0.1385122322273452,0.8187989841881371,0.9529658470957783,0.1517653561441035,-0.2621515897181725,0.009995746681167565,0.016208530805687182,0.09070374816656113,-0.2079552263021469,0.7828076481819153
379,0.591922335332578,0.1385122322273452,0.8187989841881371,0.9527745414612893,0.15177203619641844,-0.2628418282754919,0.010004772901961832,0.016208530805687182,0.09070374816656113,-0.2079552263021469,0.7828076481819153
380,0.5920608878998822,0.1387193975975476,0.8188348520757186,0.9525827469074881,0.15177863836642622,-0.2635319319546842,0.010013793988774793,0.016208530805687182,0.09070374816656113,-0.2079552263021469,0.7828076481819153
381,0.5921765491268152,0.1388923355759758,0.8188647939524076,0.9523904635327951,0.15178516265073885,-0.26422190040162025,0.01002280993697725,0.016208530805687182,0.09070374816656113,-0.2079552263021469,0.7828076481819153
382,0.5923798088254069,0.1391606771079882,0.8189368523384074,0.9521976914358807,0.1517916090460084,-0.2649117332622406,0.01003182074194264,0.016208530805687182,0.09070374816656113,-0.2079552263021469,0.7828076481819153
383,0.5924349093202734,0.13923342026026866,0.8189563862290674,0.9520044307156666,0.15179797754892688,-0.2656014301825553,0.010040826399047032,0.016208530805687182,0.09070374816656113,-0.2079552263021469,0.7828076481819153
384,0.593308026986717,0.13914225365081512,0.8192537931801531,0.9518106814713257,0.15180426815622633,-0.2662909908086441,0.010049826903669158,0.016208530805687182,0.09070374816656113,-0.2079552263021469,0.7828076481819153
385,0.5934512857330587,0.139157787701586,0.8193305859718654,0.9516164438022805,0.15181048086467863,-0.26698041478665696,0.01005882225119037,0.016208530805687182,0.09070374816656113,-0.2079552263021469,0.7828076481819153
386,0.5935780881516357,0.1392129050567183,0.8193786698240878,0.9514217178082045,0.15181661567109572,-0.26766970176281357,0.010067812436994679,0.016208530805687182,0.09070374816656113,-0.2079552263021469,0.7828076481819153
387,0.5937116136777403,0.13933914908303924,0.819396513678331,0.9512265035890223,0.15182267257232948,-0.2683588513834041,0.010076797456468743,0.016208530805687182,0.09070374816656113,-0.2079552263021469,0.7828076481819153
388,0.5937911635023252,0.13956316606824917,0.8192454128513227,0.951030801244909,0.15182865156527192,-0.2690478632947893,0.010085777305001872,0.016208530805687182,0.09070374816656113,-0.2079552263021469,0.7828076481819153
389,0.5937911635023252,0.13956316606824917,0.8192454128513227,0.9508346108762894,0.15183455264685475,-0.2697367371434005,0.010094751977986026,0.016208530805687182,0.09070374816656113,-0.2079552263021469,0.7828076481819153
390,0.5938765311098663,0.13966324678544353,0.8191353997174993,0.9506379325838392,0.15184037581404988,-0.2704254725757398,0.010103721470815822,0.016208530805687182,0.09070374816656113,-0.2079552263021469,0.7828076481819153
