,EE_x,EE_y,EE_z,EE_qx,EE_qy,EE_qz,EE_qw,marker_x,marker_y,marker_z,marker_qx,marker_qy,marker_qz,marker_qw,secs,nsecs
0,-0.5030881421768916,-0.4063570900289801,0.4522426113467478,0.0008861658301132387,0.989657165627275,0.14318784054777978,0.008668999479380044,0.0032352405527178614,0.919397578406661,0.6829786561569636,0.5038638762150816,0.4998587962521878,0.4990907966850721,0.49716270447318034,4529,706000000
1,-0.5030881421768916,-0.4063570900289801,0.4522426113467478,0.0008861658301132387,0.989657165627275,0.14318784054777978,0.008668999479380044,0.0032352405527178614,0.919397578406661,0.6829786561569636,0.5038638762150816,0.4998587962521878,0.4990907966850721,0.49716270447318034,4529,716000000
2,-0.5030881421768916,-0.4063570900289801,0.4522426113467478,0.0008861658301132387,0.989657165627275,0.14318784054777978,0.008668999479380044,0.0032352405527178614,0.919397578406661,0.6829786561569636,0.5038638762150816,0.4998587962521878,0.4990907966850721,0.49716270447318034,4529,726000000
3,-0.5030881421768916,-0.4063570900289801,0.4522426113467478,0.0008861658301132387,0.989657165627275,0.14318784054777978,0.008668999479380044,0.0032352405527178614,0.919397578406661,0.6829786561569636,0.5038638762150816,0.4998587962521878,0.4990907966850721,0.49716270447318034,4529,735000000
4,-0.5030942155394047,-0.4063552029957982,0.45224068060539635,0.0008927075035008524,0.9896358646835134,0.14333708416159738,0.008633580339530805,0.0032352405527178614,0.919397578406661,0.6829786561569636,0.5038638762150816,0.4998587962521878,0.4990907966850721,0.49716270447318034,4529,746000000
5,-0.5030942155394047,-0.4063552029957982,0.45224068060539635,0.0008927075035008524,0.9896358646835134,0.14333708416159738,0.008633580339530805,0.0032352405527178614,0.919397578406661,0.6829786561569636,0.5038638762150816,0.4998587962521878,0.4990907966850721,0.49716270447318034,4529,755000000
6,-0.5042046637236757,-0.40628753305883647,0.4530419397883828,0.0008927075035008524,0.9896358646835134,0.14333708416159738,0.008633580339530805,0.003167570615756121,0.9205080265909321,0.6821773969739772,0.5036627052208962,0.49951223341758877,0.49893398309603115,0.4978717591385058,4529,766000000
7,-0.504211282779516,-0.40628589957796196,0.45304031917013565,0.0008992114576661642,0.9896145833318146,0.1434859741009837,0.008599018086108506,0.003167570615756121,0.9205080265909321,0.6821773969739772,0.5036627052208962,0.49951223341758877,0.49893398309603115,0.4978717591385058,4529,776000000
8,-0.504211282779516,-0.40628589957796196,0.45304031917013565,0.0008992114576661642,0.9896145833318146,0.1434859741009837,0.008599018086108506,0.003167570615756121,0.9205080265909321,0.6821773969739772,0.5036627052208962,0.49951223341758877,0.49893398309603115,0.4978717591385058,4529,787000000
9,-0.5042142123606508,-0.40628554122018734,0.4530407945782592,0.0009007376107679247,0.989603728132368,0.14356162884970647,0.008585374790537989,0.003167570615756121,0.9205080265909321,0.6821773969739772,0.5036627052208962,0.49951223341758877,0.49893398309603115,0.4978717591385058,4529,796000000
10,-0.5042142123606508,-0.40628554122018734,0.4530407945782592,0.0009007376107679247,0.989603728132368,0.14356162884970647,0.008585374790537989,0.003167570615756121,0.9205080265909321,0.6821773969739772,0.5036627052208962,0.49951223341758877,0.49893398309603115,0.4978717591385058,4529,806000000
11,-0.5042144417494392,-0.40629049570342096,0.45304044140125876,0.0009007376107679247,0.989603728132368,0.14356162884970647,0.008585374790537989,0.0031725250989897633,0.9205082559797205,0.6821777501509776,0.503661030190096,0.49951368838195814,0.4989356506347551,0.4978703227875477,4529,815000000
12,-0.5042185345538852,-0.40628928389876007,0.4530388142954167,0.0009055309040780021,0.9895933329393743,0.1436344108508519,0.008565712769583414,0.0031725250989897633,0.9205082559797205,0.6821777501509776,0.503661030190096,0.49951368838195814,0.4989356506347551,0.4978703227875477,4529,824000000
13,-0.5042185345538852,-0.40628928389876007,0.4530388142954167,0.0009055309040780021,0.9895933329393743,0.1436344108508519,0.008565712769583414,0.0031725250989897633,0.9205082559797205,0.6821777501509776,0.503661030190096,0.49951368838195814,0.4989356506347551,0.4978703227875477,4529,837000000
14,-0.5042258122407262,-0.40628771148896414,0.4530380862356431,0.0009114873025262143,0.9895721350740673,0.14378225522281302,0.008533566598513457,0.0031725250989897633,0.9205082559797205,0.6821777501509776,0.503661030190096,0.49951368838195814,0.4989356506347551,0.4978703227875477,4529,846000000
15,-0.5042258122407262,-0.40628771148896414,0.4530380862356431,0.0009114873025262143,0.9895721350740673,0.14378225522281302,0.008533566598513457,0.0031725250989897633,0.9205082559797205,0.6821777501509776,0.503661030190096,0.49951368838195814,0.4989356506347551,0.4978703227875477,4529,855000000
16,-0.5042253423885363,-0.4062826367838977,0.4530388394375774,0.0009114873025262143,0.9895721350740673,0.14378225522281302,0.008533566598513457,0.0031674503939233024,0.9205077861275306,0.6821769969490433,0.5036628585654864,0.4995123050862369,0.4989338321765767,0.49787168334689674,4529,866000000
17,-0.5042373639074975,-0.4062849641482869,0.4530435949318258,0.0009113689088451018,0.9895626586396877,0.1438475962420715,0.008531300489539569,0.0031674503939233024,0.9205077861275306,0.6821769969490433,0.5036628585654864,0.4995123050862369,0.4989338321765767,0.49787168334689674,4529,876000000
18,-0.5042327564875229,-0.40628106606155623,0.4530383755890165,0.0009170631894744158,0.989551006214075,0.14392941258478623,0.008502310792766773,0.0031674503939233024,0.9205077861275306,0.6821769969490433,0.5036628585654864,0.4995123050862369,0.4989338321765767,0.49787168334689674,4529,886000000
